,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
65,804502,2020-08-12,WW,FDM,CFM56
66,862229,2020-07-30,WW,FDM,CFM56-7B
67,960517,2020-07-23,WW,FDM,CFM56
68,994289,2020-08-25,WW,FDM,CF34
69,038612,2020-08-27,WW,RDO,CFM56
70,862688,2020-08-28,WW,RDO,CFM56
71,958340,2020-01-17,WW,FDM,GENX
72,959208,2020-08-25,WW,RDO,GENX
73,598114,2020-08-21,WW,FDM,LEAP
74,956851,2020-08-12,WW,FDM,GENX
75,598953,2020-07-26,WW,FDM,LEAP
76,643710,2020-06-30,WW,FDM,CFM56
77,706762,2020-05-16,WW,FDM,CF6
78,658657,2020-03-12,WW,FDM,CFM56
79,857413,2020-03-24,WW,RDO,CFM56
80,994289,2020-07-23,WW,FDM,CF34
81,598669,2020-07-15,WW,FDM,LEAP
82,864798,2020-08-17,WW,FDM,CFM56
83,906796,2020-08-23,WW,RDO,GE90
84,958195,2020-03-14,WW,FDM,GENX
85,598296,2020-08-11,WW,FDM,LEAP
86,599020,2020-07-23,WW,FDM,LEAP
87,892962,2020-08-28,WW,RDO,CFM56
88,645410,2020-08-23,WW,FDM,CFM56
89,960532,2020-04-13,WW,FDM,CFM56
90,658399,2020-07-11,WW,FDM,CFM56
91,706761,2020-05-16,WW,FDM,CF6
92,193996,2020-08-19,WW,RDO,CF34
93,657477,2020-07-31,WW,FDM,CFM56
94,599010,2020-08-23,WW,FDM,LEAP
95,902447,2020-08-25,WW,RDO,CF34
96,960679,2020-08-20,WW,FDM,CFM56
97,994789,2020-08-20,WW,FDM,CF34
98,598145,2020-08-26,WW,FDM,LEAP
99,599539,2020-08-23,WW,FDM,LEAP
100,704237,2020-08-22,WW,FDM,CF6
101,994707,2020-05-21,WW,FDM,CF34-10E
102,598122,2020-08-26,WW,FDM,LEAP
103,598685,2020-08-12,WW,RDO,LEAP
104,598689,2020-08-07,WW,FDM,LEAP
105,862634,2020-08-13,WW,FDM,CFM56
106,862806,2020-08-31,WW,RDO,CFM56
107,599004,2020-08-13,WW,RDO,LEAP
108,599649,2020-08-23,WW,FDM,LEAP
109,804449,2020-04-10,WW,FDM,CFM56
110,577285,2020-03-15,WW,FDM,CFM56
111,598438,2020-08-27,WW,FDM,LEAP
112,645167,2020-08-20,WW,FDM,CFM56
113,706899,2020-07-01,WW,FDM,CF6
114,599638,2020-08-24,WW,FDM,LEAP
115,804688,2020-04-27,WW,FDM,CFM56
116,994223,2020-08-23,WW,FDM,CF34
117,994844,2020-08-21,WW,RDO,CF34
118,598262,2020-07-11,WW,FDM,LEAP
119,803820,2020-07-22,WW,FDM,CFM56
120,195678,2020-09-01,WW,RDO,CF34-8C
121,598508,2020-08-26,WW,FDM,LEAP
122,710101,2020-09-02,WW,RDO,CFM56
123,864165,2020-08-29,WW,RDO,CFM56-7B
124,577677,2020-07-30,WW,FDM,CFM56
125,598430,2020-08-20,WW,FDM,LEAP
126,658248,2020-03-18,WW,FDM,CFM56
127,706805,2020-05-16,WW,FDM,CF6
128,960435,2020-03-05,WW,FDM,CFM56
129,195666,2020-08-23,WW,RDO,CF34
130,599639,2020-08-24,WW,FDM,LEAP
131,657449,2020-07-22,WW,FDM,CFM56
132,598232,2020-08-11,WW,FDM,LEAP
133,599451,2020-06-24,WW,FDM,LEAP
134,658464,2020-07-19,WW,FDM,CFM56
135,804455,2020-04-10,WW,FDM,CFM56
136,958154,2020-02-29,WW,FDM,GENX
137,577582,2020-06-17,WW,FDM,CFM56
138,660576,2020-07-08,WW,FDM,CFM56
139,193603,2020-07-20,WW,FDM,CF34
140,658451,2020-03-12,WW,FDM,CFM56
141,902357,2020-09-02,WW,RDO,CF34
142,598581,2020-08-29,WW,FDM,LEAP
143,706767,2020-06-26,WW,FDM,CF6
144,706841,2020-07-01,WW,FDM,CF6
145,706974,2020-05-27,WW,FDM,CF6
146,864114,2020-08-29,WW,RDO,CFM56-7B
147,902872,2020-08-24,WW,RDO,CF34
148,958361,2020-08-17,WW,FDM,GENX
149,958366,2020-08-17,WW,FDM,GENX
150,961944,2020-04-13,WW,FDM,CFM56
151,704844,2020-08-27,WW,RDO,CF6
152,958412,2020-07-30,WW,FDM,GENX
153,963349,2020-03-06,WW,FDM,CFM56
154,599648,2020-08-23,WW,FDM,LEAP
155,657748,2020-03-03,WW,FDM,CFM56
156,962410,2020-08-30,WW,RDO,CFM56
157,599046,2020-08-25,WW,FDM,LEAP
158,599538,2020-06-17,WW,FDM,LEAP
159,727215,2020-02-20,WW,RDO,CFM56
160,906247,2020-08-25,WW,RDO,GE90
161,569344,2020-07-31,WW,FDM,CFM56
162,598710,2020-08-27,WW,FDM,LEAP
163,890545,2020-02-29,WW,FDM,CFM56
164,902296,2020-08-30,WW,RDO,CF34
165,802673,2020-08-28,WW,RDO,CFM56-7B
166,599441,2020-08-16,WW,FDM,LEAP
167,956427,2020-07-13,WW,FDM,GENX
168,960127,2020-03-27,WW,FDM,CFM56
169,658520,2020-03-18,WW,FDM,CFM56
170,804475,2020-03-10,WW,FDM,CFM56
171,645847,2020-06-26,WW,FDM,CFM56
