,esn,wash_date,wash_type,source_type,engine_family
2077,785702,2014-07-18,WW,RDO,CT7
2078,785702,2014-09-12,WW,RDO,CT7
2079,785702,2014-11-17,WW,RDO,CT7
2080,785702,2015-07-03,WW,RDO,CT7
2081,858137,2013-04-15,WW,RDO,CFM56
2082,858137,2016-09-10,WW,RDO,CFM56
2083,858137,2016-12-07,WW,RDO,CFM56
2084,858137,2017-05-18,WW,RDO,CFM56
2085,858137,2017-12-26,WW,RDO,CFM56
2086,862561,2016-05-23,WW,RDO,CFM56
2087,862561,2016-09-07,WW,RDO,CFM56
2088,862561,2016-12-22,WW,RDO,CFM56
2089,907594,2015-01-24,WW,RDO,GE90
2090,785702,2015-07-17,WW,RDO,CT7
2091,785702,2015-09-10,WW,RDO,CT7
2092,863291,2016-07-29,WW,RDO,CFM56
2093,863291,2016-11-15,WW,RDO,CFM56
2094,897181,2011-03-23,WW,RDO,CFM56
2095,897181,2011-10-15,WW,RDO,CFM56
2096,897181,2012-03-29,WW,RDO,CFM56
2097,897181,2012-08-02,WW,RDO,CFM56
2098,897181,2012-11-28,WW,RDO,CFM56
2099,897181,2013-03-31,WW,RDO,CFM56
2100,897181,2013-08-15,WW,RDO,CFM56
2101,897181,2014-04-24,WW,RDO,CFM56
2102,897181,2014-08-20,WW,RDO,CFM56
2103,897181,2014-08-28,WW,RDO,CFM56
2104,897181,2015-08-12,WW,RDO,CFM56
2105,897181,2016-11-20,WW,RDO,CFM56
2106,960703,2012-10-05,WW,RDO,CFM56
2107,960703,2013-04-23,WW,RDO,CFM56
2108,960703,2013-11-07,WW,RDO,CFM56
2109,960703,2014-05-24,WW,RDO,CFM56
2110,960703,2014-11-30,WW,RDO,CFM56
2111,960703,2016-09-02,WW,RDO,CFM56
2112,577751,2008-03-26,WW,RDO,CFM56
2113,577751,2009-10-16,WW,RDO,CFM56
2114,577751,2010-03-07,WW,RDO,CFM56
2115,577751,2010-07-13,WW,RDO,CFM56
2116,577751,2010-12-31,WW,RDO,CFM56
2117,577751,2011-05-01,WW,RDO,CFM56
2118,569831,2015-10-16,WW,RDO,CFM56
2119,894437,2015-12-31,WW,RDO,CFM56
2120,658539,2014-07-16,WW,RDO,CFM56
2121,658539,2015-01-10,WW,RDO,CFM56
2122,658539,2016-05-19,WW,RDO,CFM56
