,esn,wash_date,wash_type,source_type,engine_family
508,862306,2016-06-10,WW,RDO,CFM56
509,599649,2020-08-23,WW,FDM,LEAP
510,858953,2017-09-07,WW,RDO,CFM56
511,731840,2010-10-11,WW,RDO,CFM56
512,804570,2016-07-24,WW,RDO,CFM56
513,660189,2016-01-06,WW,RDO,CFM56
514,731821,2016-05-20,WW,RDO,CFM56
515,802282,2020-08-25,WW,RDO,CFM56
516,657403,2015-08-07,WW,RDO,CFM56
517,695684,2013-08-17,WW,RDO,CF6
518,858673,2012-11-22,WW,RDO,CFM56
519,785458,2015-04-12,WW,RDO,CT7
520,894611,2011-06-14,WW,RDO,CFM56
521,804318,2014-02-28,WW,RDO,CFM56
522,785563,2011-02-02,WW,RDO,CT7
523,697818,2010-01-04,WW,RDO,CFM56
524,706497,2015-04-22,WW,RDO,CF6
525,706926,2017-07-31,WW,RDO,CF6
526,785385,2014-08-06,WW,RDO,CT7
527,893421,2015-02-20,WW,RDO,CFM56
528,785614,2010-12-17,WW,RDO,CT7
529,962459,2020-03-10,WW,FDM,CFM56
530,876603,2013-05-21,WW,RDO,CFM56
531,779341,2011-10-24,WW,RDO,CFM56
532,702961,2011-02-26,WW,RDO,CF6
533,894611,2011-10-18,WW,RDO,CFM56
534,699573,2020-07-21,WW,FDM,CFM56
535,958140,2020-02-06,WW,FDM,GENX
536,704152,2010-10-08,WW,RDO,CF6
537,706503,2016-06-24,WW,RDO,CF6
538,863417,2016-11-18,WW,RDO,CFM56
539,960198,2012-11-27,WW,RDO,CFM56
540,695593,2011-10-07,WW,RDO,CF6
541,731828,2014-01-23,WW,RDO,CFM56
542,569171,2015-06-25,WW,RDO,CFM56
543,779796,2011-02-25,WW,RDO,CFM56
544,906249,2017-06-24,WW,RDO,GE90
545,733301,2020-08-21,WW,FDM,CFM56
546,706728,2011-08-28,WW,RDO,CF6
547,858198,2016-12-04,WW,RDO,CFM56
548,892720,2012-05-15,WW,RDO,CFM56
549,785458,2014-06-15,WW,RDO,CT7
550,906343,2013-01-02,WW,RDO,GE90
551,858427,2017-12-07,WW,RDO,CFM56
552,569171,2015-05-01,WW,RDO,CFM56
553,891345,2011-07-03,WW,RDO,CFM56
554,907024,2013-07-24,WW,RDO,GE90
555,890232,2011-03-13,WW,RDO,CFM56
556,906124,2017-08-03,WW,RDO,GE90
557,785596,2011-12-10,WW,RDO,CT7
558,895301,2016-11-07,WW,RDO,CFM56
559,655118,2015-05-28,WW,RDO,CFM56
560,575576,2020-07-21,WW,FDM,CFM56
561,858609,2012-02-25,WW,RDO,CFM56
562,702939,2010-09-03,WW,RDO,CF6
563,690186,2011-06-05,WW,RDO,CF6
564,877517,2015-07-27,WW,RDO,CFM56
565,577881,2011-05-09,WW,RDO,CFM56
566,857738,2011-03-20,WW,RDO,CFM56
567,731690,2011-06-02,WW,RDO,CFM56
568,906408,2016-07-20,WW,RDO,GE90
569,811131,2007-01-10,WW,RDO,CF6
570,785456,2013-12-17,WW,RDO,CT7
571,785763,2015-06-02,WW,RDO,CT7
572,741659,2012-08-11,WW,RDO,CFM56
573,724851,2012-03-13,WW,RDO,CFM56
574,424131,2014-11-02,WW,RDO,CF34
575,862735,2016-12-24,WW,RDO,CFM56
576,906305,2016-09-19,WW,RDO,GE90
577,858417,2011-03-14,WW,RDO,CFM56
578,874273,2013-07-23,WW,RDO,CFM56
579,960198,2013-06-12,WW,RDO,CFM56
580,690287,2010-11-27,WW,RDO,CF6
581,731486,2015-12-16,WW,RDO,CFM56
582,960786,2016-09-25,WW,RDO,CFM56
583,697457,2012-02-16,WW,RDO,CFM56
584,890715,2013-09-16,WW,RDO,CFM56
585,894195,2013-04-19,WW,RDO,CFM56
586,785420,2011-05-07,WW,RDO,CT7
587,891230,2012-04-16,WW,RDO,CFM56
